database,factor,degree,architecture,gar,gar_ci_lo,gar_ci_hi,far,far_ci_lo,far_ci_hi,frr,frr_ci_lo,frr_ci_hi,eer,eer_ci_lo,eer_ci_hi,ga_total,ga_accept,ia_total,ia_accept
DB1,22,7,Unimodal,100.0,100.0,100.0,0.09090909090909091,0.030303030303030304,0.15151515151515152,0.0,0.0,0.0,0.045454545454545456,0.015151515151515152,0.07575757575757576,100,100,9900,9
DB1,22,7,A,91.0,85.0,96.0,0.0404040404040404,0.0101010101010101,0.0808080808080808,9.0,4.0,15.0,4.52020202020202,2.01010101010101,7.525252525252525,100,91,9900,4
DB1,22,7,B,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB1,22,7,C,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB1,22,7,D,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB1,22,7,IBFV,100.0,100.0,100.0,0.09090909090909091,0.030303030303030304,0.15151515151515152,0.0,0.0,0.0,0.045454545454545456,0.015151515151515152,0.07575757575757576,100,100,9900,9
DB1,18,5,Unimodal,100.0,100.0,100.0,0.1111111111111111,0.0404040404040404,0.1919191919191919,0.0,0.0,0.0,0.05555555555555555,0.0202020202020202,0.09595959595959595,100,100,9900,11
DB1,18,5,A,91.0,85.0,96.0,0.0404040404040404,0.0101010101010101,0.0808080808080808,9.0,4.0,15.0,4.52020202020202,2.01010101010101,7.52020202020202,100,91,9900,4
DB1,18,5,B,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB1,18,5,C,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB1,18,5,D,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB1,18,5,IBFV,100.0,100.0,100.0,0.1111111111111111,0.0404040404040404,0.1919191919191919,0.0,0.0,0.0,0.05555555555555555,0.0202020202020202,0.09595959595959595,100,100,9900,11
DB2,22,7,Unimodal,100.0,100.0,100.0,0.3232323232323232,0.1919191919191919,0.47474747474747475,0.0,0.0,0.0,0.1616161616161616,0.09595959595959595,0.23737373737373738,100,100,9900,32
DB2,22,7,A,91.0,85.0,96.0,0.10101010101010101,0.0404040404040404,0.1717171717171717,9.0,4.0,15.0,4.55050505050505,2.025252525252525,7.545454545454546,100,91,9900,10
DB2,22,7,B,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB2,22,7,C,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB2,22,7,D,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB2,22,7,IBFV,100.0,100.0,100.0,0.3232323232323232,0.1919191919191919,0.47474747474747475,0.0,0.0,0.0,0.1616161616161616,0.09595959595959595,0.23737373737373738,100,100,9900,32
DB2,18,5,Unimodal,100.0,100.0,100.0,0.393939393939394,0.23232323232323235,0.5757575757575757,0.0,0.0,0.0,0.196969696969697,0.11616161616161617,0.28787878787878785,100,100,9900,39
DB2,18,5,A,91.0,85.0,96.0,0.1414141414141414,0.06060606060606061,0.23232323232323235,9.0,4.0,15.0,4.570707070707071,2.0454545454545454,7.5607323232323225,100,91,9900,14
DB2,18,5,B,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB2,18,5,C,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB2,18,5,D,33.0,24.0,42.0,0.0,0.0,0.0,67.0,58.0,76.0,33.5,29.0,38.0,100,33,9900,0
DB2,18,5,IBFV,100.0,100.0,100.0,0.393939393939394,0.23232323232323235,0.5757575757575757,0.0,0.0,0.0,0.196969696969697,0.11616161616161617,0.28787878787878785,100,100,9900,39
