database,block_size,n_key_bits,gen_total,gen_ok,gar_pct,imp_total,imp_ok,far_pct
fvc2002_1,31,4228,100,8,8.0,9900,0,0.0
fvc2002_1,63,2080,100,33,33.0,9900,0,0.0
fvc2002_1,127,1032,100,50,50.0,9900,0,0.0
fvc2002_1,255,514,100,56,56.0,9900,3,0.030303
fvc2002_1,511,256,100,33,33.0,9900,0,0.0
fvc2002_2,31,4228,100,8,8.0,9900,0,0.0
fvc2002_2,63,2080,100,33,33.0,9900,0,0.0
fvc2002_2,127,1032,100,50,50.0,9900,0,0.0
fvc2002_2,255,514,100,56,56.0,9900,3,0.030303
fvc2002_2,511,256,100,33,33.0,9900,0,0.0
fvc2002_3,31,4228,95,8,8.4211,9215,0,0.0
fvc2002_3,63,2080,95,30,31.5789,9215,0,0.0
fvc2002_3,127,1032,95,46,48.4211,9215,0,0.0
fvc2002_3,255,514,95,51,53.6842,9215,3,0.032556
fvc2002_3,511,256,95,29,30.5263,9215,0,0.0
fvc2004_1,31,4228,100,8,8.0,9900,0,0.0
fvc2004_1,63,2080,100,33,33.0,9900,0,0.0
fvc2004_1,127,1032,100,50,50.0,9900,0,0.0
fvc2004_1,255,514,100,56,56.0,9900,3,0.030303
fvc2004_1,511,256,100,33,33.0,9900,0,0.0
