database,setup,architecture,factor,degree,fhd_threshold,n_subjects,n_vaults,ga,ia,gacc,iacc,far_pct,frr_pct,eer_pct
fvc2002_1,1,A,22,7,0.25,100,100,100,9900,52,0,0.0,48.0,24.0
fvc2002_1,1,A,22,7,0.3,100,100,100,9900,61,0,0.0,39.0,19.5
fvc2002_1,1,A,22,7,0.32,100,100,100,9900,63,0,0.0,37.0,18.5
fvc2002_1,1,A,22,7,0.35,100,100,100,9900,69,0,0.0,31.0,15.5
fvc2002_1,1,A,22,7,0.38,100,100,100,9900,73,0,0.0,27.0,13.5
fvc2002_1,1,A,22,7,0.4,100,100,100,9900,80,0,0.0,20.0,10.0
fvc2002_1,1,A,22,7,0.45,100,100,100,9900,96,7,0.070707,4.0,2.035354
fvc2002_1,1,A,18,5,0.25,100,100,100,9900,52,0,0.0,48.0,24.0
fvc2002_1,1,A,18,5,0.3,100,100,100,9900,61,0,0.0,39.0,19.5
fvc2002_1,1,A,18,5,0.32,100,100,100,9900,63,0,0.0,37.0,18.5
fvc2002_1,1,A,18,5,0.35,100,100,100,9900,69,0,0.0,31.0,15.5
fvc2002_1,1,A,18,5,0.38,100,100,100,9900,73,1,0.010101,27.0,13.505051
fvc2002_1,1,A,18,5,0.4,100,100,100,9900,80,1,0.010101,20.0,10.005051
fvc2002_1,1,A,18,5,0.45,100,100,100,9900,96,6,0.060606,4.0,2.030303
fvc2002_2,1,A,22,7,0.25,100,100,100,9900,52,0,0.0,48.0,24.0
fvc2002_2,1,A,22,7,0.3,100,100,100,9900,61,0,0.0,39.0,19.5
fvc2002_2,1,A,22,7,0.32,100,100,100,9900,63,0,0.0,37.0,18.5
fvc2002_2,1,A,22,7,0.35,100,100,100,9900,69,0,0.0,31.0,15.5
fvc2002_2,1,A,22,7,0.38,100,100,100,9900,73,1,0.010101,27.0,13.505051
fvc2002_2,1,A,22,7,0.4,100,100,100,9900,80,4,0.040404,20.0,10.020202
fvc2002_2,1,A,22,7,0.45,100,100,100,9900,96,20,0.20202,4.0,2.10101
fvc2002_2,1,A,18,5,0.25,100,100,100,9900,52,0,0.0,48.0,24.0
fvc2002_2,1,A,18,5,0.3,100,100,100,9900,61,0,0.0,39.0,19.5
fvc2002_2,1,A,18,5,0.32,100,100,100,9900,63,0,0.0,37.0,18.5
fvc2002_2,1,A,18,5,0.35,100,100,100,9900,69,0,0.0,31.0,15.5
fvc2002_2,1,A,18,5,0.38,100,100,100,9900,73,2,0.020202,27.0,13.510101
fvc2002_2,1,A,18,5,0.4,100,100,100,9900,80,4,0.040404,20.0,10.020202
fvc2002_2,1,A,18,5,0.45,100,100,100,9900,96,20,0.20202,4.0,2.10101
fvc2002_3,1,A,16,5,0.25,98,98,95,9215,44,0,0.0,53.684211,26.842105
fvc2002_3,1,A,16,5,0.3,98,98,95,9215,51,0,0.0,46.315789,23.157895
fvc2002_3,1,A,16,5,0.32,98,98,95,9215,53,0,0.0,44.210526,22.105263
fvc2002_3,1,A,16,5,0.35,98,98,95,9215,58,0,0.0,38.947368,19.473684
fvc2002_3,1,A,16,5,0.38,98,98,95,9215,61,0,0.0,35.789474,17.894737
fvc2002_3,1,A,16,5,0.4,98,98,95,9215,68,3,0.032556,28.421053,14.226804
fvc2002_3,1,A,16,5,0.45,98,98,95,9215,84,10,0.108519,11.578947,5.843733
fvc2002_3,1,A,18,5,0.25,98,98,95,9215,46,0,0.0,51.578947,25.789474
fvc2002_3,1,A,18,5,0.3,98,98,95,9215,54,0,0.0,43.157895,21.578947
fvc2002_3,1,A,18,5,0.32,98,98,95,9215,56,0,0.0,41.052632,20.526316
fvc2002_3,1,A,18,5,0.35,98,98,95,9215,61,0,0.0,35.789474,17.894737
fvc2002_3,1,A,18,5,0.38,98,98,95,9215,64,1,0.010852,32.631579,16.321215
fvc2002_3,1,A,18,5,0.4,98,98,95,9215,71,4,0.043407,25.263158,12.653283
fvc2002_3,1,A,18,5,0.45,98,98,95,9215,87,16,0.17363,8.421053,4.297341
fvc2004_1,1,A,22,5,0.25,100,100,100,9900,52,0,0.0,48.0,24.0
fvc2004_1,1,A,22,5,0.3,100,100,100,9900,60,0,0.0,40.0,20.0
fvc2004_1,1,A,22,5,0.32,100,100,100,9900,62,0,0.0,38.0,19.0
fvc2004_1,1,A,22,5,0.35,100,100,100,9900,67,4,0.040404,33.0,16.520202
fvc2004_1,1,A,22,5,0.38,100,100,100,9900,71,10,0.10101,29.0,14.550505
fvc2004_1,1,A,22,5,0.4,100,100,100,9900,78,23,0.232323,22.0,11.116162
fvc2004_1,1,A,22,5,0.45,100,100,100,9900,94,163,1.646465,6.0,3.823232
fvc2004_1,1,A,22,7,0.25,100,100,100,9900,48,0,0.0,52.0,26.0
fvc2004_1,1,A,22,7,0.3,100,100,100,9900,54,0,0.0,46.0,23.0
fvc2004_1,1,A,22,7,0.32,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2004_1,1,A,22,7,0.35,100,100,100,9900,61,0,0.0,39.0,19.5
fvc2004_1,1,A,22,7,0.38,100,100,100,9900,65,2,0.020202,35.0,17.510101
fvc2004_1,1,A,22,7,0.4,100,100,100,9900,72,8,0.080808,28.0,14.040404
fvc2004_1,1,A,22,7,0.45,100,100,100,9900,87,45,0.454545,13.0,6.727273
