database,setup,architecture,factor,degree,block_size,n_subjects,n_vaults,ga,ia,gacc,iacc,far_pct,frr_pct,eer_pct
fvc2002_1,1,B,22,7,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_1,1,C,22,7,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_1,1,D,22,7,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_1,1,B,22,7,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,C,22,7,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,D,22,7,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,B,22,7,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_1,1,C,22,7,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_1,1,D,22,7,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_1,1,B,22,7,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_1,1,C,22,7,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_1,1,D,22,7,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_1,1,B,22,7,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,C,22,7,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,D,22,7,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,B,18,5,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_1,1,C,18,5,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_1,1,D,18,5,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_1,1,B,18,5,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,C,18,5,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,D,18,5,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,B,18,5,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_1,1,C,18,5,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_1,1,D,18,5,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_1,1,B,18,5,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_1,1,C,18,5,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_1,1,D,18,5,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_1,1,B,18,5,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,C,18,5,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_1,1,D,18,5,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,B,22,7,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_2,1,C,22,7,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_2,1,D,22,7,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_2,1,B,22,7,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,C,22,7,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,D,22,7,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,B,22,7,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_2,1,C,22,7,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_2,1,D,22,7,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_2,1,B,22,7,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_2,1,C,22,7,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_2,1,D,22,7,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_2,1,B,22,7,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,C,22,7,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,D,22,7,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,B,18,5,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_2,1,C,18,5,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_2,1,D,18,5,31,100,100,100,9900,8,0,0.0,92.0,46.0
fvc2002_2,1,B,18,5,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,C,18,5,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,D,18,5,63,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,B,18,5,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_2,1,C,18,5,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_2,1,D,18,5,127,100,100,100,9900,50,0,0.0,50.0,25.0
fvc2002_2,1,B,18,5,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_2,1,C,18,5,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_2,1,D,18,5,255,100,100,100,9900,56,0,0.0,44.0,22.0
fvc2002_2,1,B,18,5,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,C,18,5,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_2,1,D,18,5,511,100,100,100,9900,33,0,0.0,67.0,33.5
fvc2002_3,1,B,16,5,31,98,98,95,9215,23,0,0.0,75.789474,37.894737
fvc2002_3,1,C,16,5,31,98,98,95,9215,23,0,0.0,75.789474,37.894737
fvc2002_3,1,D,16,5,31,98,98,95,9215,23,0,0.0,75.789474,37.894737
fvc2002_3,1,B,16,5,63,98,98,95,9215,45,0,0.0,52.631579,26.315789
fvc2002_3,1,C,16,5,63,98,98,95,9215,45,0,0.0,52.631579,26.315789
fvc2002_3,1,D,16,5,63,98,98,95,9215,45,0,0.0,52.631579,26.315789
fvc2002_3,1,B,16,5,127,98,98,95,9215,55,0,0.0,42.105263,21.052632
fvc2002_3,1,C,16,5,127,98,98,95,9215,55,0,0.0,42.105263,21.052632
fvc2002_3,1,D,16,5,127,98,98,95,9215,55,0,0.0,42.105263,21.052632
