database,setup,architecture,factor,degree,block_size,n_subjects,n_vaults,ga,ia,gacc,iacc,far_pct,frr_pct,eer_pct
fvc2002_1,1,Unimodal,22,7,0,100,100,100,9900,100,9,0.090909,0.0,0.045455
fvc2002_1,1,IBFV,22,7,31,100,100,100,9900,100,9,0.090909,0.0,0.045455
fvc2002_1,1,IBFV,22,7,63,100,100,100,9900,100,9,0.090909,0.0,0.045455
fvc2002_1,1,IBFV,22,7,127,100,100,100,9900,100,11,0.111111,0.0,0.055556
fvc2002_1,1,IBFV,22,7,255,100,100,100,9900,100,14,0.141414,0.0,0.070707
fvc2002_1,1,IBFV,22,7,511,100,100,100,9900,100,150,1.515152,0.0,0.757576
fvc2002_1,1,Unimodal,18,5,0,100,100,100,9900,100,11,0.111111,0.0,0.055556
fvc2002_1,1,IBFV,18,5,31,100,100,100,9900,100,11,0.111111,0.0,0.055556
fvc2002_1,1,IBFV,18,5,63,100,100,100,9900,100,11,0.111111,0.0,0.055556
fvc2002_1,1,IBFV,18,5,127,100,100,100,9900,100,14,0.141414,0.0,0.070707
fvc2002_1,1,IBFV,18,5,255,100,100,100,9900,100,28,0.282828,0.0,0.141414
fvc2002_1,1,IBFV,18,5,511,100,100,100,9900,100,418,4.222222,0.0,2.111111
fvc2002_2,1,Unimodal,22,7,0,100,100,100,9900,100,32,0.323232,0.0,0.161616
fvc2002_2,1,IBFV,22,7,31,100,100,100,9900,100,32,0.323232,0.0,0.161616
fvc2002_2,1,IBFV,22,7,63,100,100,100,9900,100,32,0.323232,0.0,0.161616
fvc2002_2,1,IBFV,22,7,127,100,100,100,9900,100,34,0.343434,0.0,0.171717
fvc2002_2,1,IBFV,22,7,255,100,100,100,9900,100,49,0.494949,0.0,0.247475
fvc2002_2,1,IBFV,22,7,511,100,100,100,9900,100,348,3.515152,0.0,1.757576
fvc2002_2,1,Unimodal,18,5,0,100,100,100,9900,100,39,0.393939,0.0,0.19697
fvc2002_2,1,IBFV,18,5,31,100,100,100,9900,100,39,0.393939,0.0,0.19697
fvc2002_2,1,IBFV,18,5,63,100,100,100,9900,100,39,0.393939,0.0,0.19697
fvc2002_2,1,IBFV,18,5,127,100,100,100,9900,100,46,0.464646,0.0,0.232323
fvc2002_2,1,IBFV,18,5,255,100,100,100,9900,100,75,0.757576,0.0,0.378788
fvc2002_2,1,IBFV,18,5,511,100,100,100,9900,100,717,7.242424,0.0,3.621212
fvc2002_3,1,Unimodal,16,5,0,98,98,95,9215,87,13,0.141074,8.421053,4.281063
fvc2002_3,1,IBFV,16,5,31,98,98,95,9215,89,13,0.141074,6.315789,3.228432
fvc2002_3,1,IBFV,16,5,63,98,98,95,9215,92,13,0.141074,3.157895,1.649485
fvc2002_3,1,IBFV,16,5,127,98,98,95,9215,92,15,0.162778,3.157895,1.660336
fvc2002_3,1,IBFV,16,5,255,98,98,95,9215,92,34,0.368964,3.157895,1.763429
fvc2002_3,1,IBFV,16,5,511,98,98,95,9215,92,290,3.147043,3.157895,3.152469
fvc2002_3,1,Unimodal,18,5,0,98,98,95,9215,90,24,0.260445,5.263158,2.761801
fvc2002_3,1,IBFV,18,5,31,98,98,95,9215,91,24,0.260445,4.210526,2.235486
fvc2002_3,1,IBFV,18,5,63,98,98,95,9215,92,24,0.260445,3.157895,1.70917
fvc2002_3,1,IBFV,18,5,127,98,98,95,9215,92,25,0.271297,3.157895,1.714596
fvc2002_3,1,IBFV,18,5,255,98,98,95,9215,92,43,0.46663,3.157895,1.812263
fvc2002_3,1,IBFV,18,5,511,98,98,95,9215,92,460,4.991861,3.157895,4.074878
fvc2004_1,1,Unimodal,22,5,0,100,100,100,9900,98,278,2.808081,2.0,2.40404
fvc2004_1,1,IBFV,22,5,31,100,100,100,9900,98,278,2.808081,2.0,2.40404
fvc2004_1,1,IBFV,22,5,63,100,100,100,9900,98,278,2.808081,2.0,2.40404
fvc2004_1,1,IBFV,22,5,127,100,100,100,9900,99,289,2.919192,1.0,1.959596
fvc2004_1,1,IBFV,22,5,255,100,100,100,9900,99,348,3.515152,1.0,2.257576
fvc2004_1,1,IBFV,22,5,511,100,100,100,9900,100,1388,14.020202,0.0,7.010101
fvc2004_1,1,Unimodal,22,7,0,100,100,100,9900,91,70,0.707071,9.0,4.853535
fvc2004_1,1,IBFV,22,7,31,100,100,100,9900,94,70,0.707071,6.0,3.353535
fvc2004_1,1,IBFV,22,7,63,100,100,100,9900,96,70,0.707071,4.0,2.353535
fvc2004_1,1,IBFV,22,7,127,100,100,100,9900,98,74,0.747475,2.0,1.373737
fvc2004_1,1,IBFV,22,7,255,100,100,100,9900,98,89,0.89899,2.0,1.449495
fvc2004_1,1,IBFV,22,7,511,100,100,100,9900,99,366,3.69697,1.0,2.348485
