Architecture,Factor,Degree,GA,IA,GAcc,IAcc,FRR,FAR,EER
Architecture A (1_to_lock_1_to_unlock),2,8,0,0,0,0,0.0,0.0,0.0
Architecture A (1_to_lock_1_to_unlock),2,9,0,0,0,0,0.0,0.0,0.0
Architecture A (1_to_lock_1_to_unlock),2,5,0,0,0,0,0.0,0.0,0.0
Architecture A (1_to_lock_1_to_unlock),2,7,0,0,0,0,0.0,0.0,0.0
Architecture A (1_to_lock_1_to_unlock),2,6,0,0,0,0,0.0,0.0,0.0
Architecture A (1_to_lock_1_to_unlock),2,10,0,0,0,0,0.0,0.0,0.0
Architecture A (1_to_lock_1_to_unlock),2,11,0,0,0,0,0.0,0.0,0.0
Architecture A (1_to_lock_1_to_unlock),10,5,98,9506,90,0,8.16326530612245,0.0,4.081632653061225
Architecture A (1_to_lock_1_to_unlock),8,5,98,9506,86,0,12.244897959183673,0.0,6.122448979591836
Architecture A (1_to_lock_1_to_unlock),8,6,98,9506,83,0,15.306122448979592,0.0,7.653061224489796
Architecture A (1_to_lock_1_to_unlock),8,7,98,9506,80,0,18.367346938775512,0.0,9.183673469387756
Architecture A (1_to_lock_1_to_unlock),8,8,98,9506,76,0,22.448979591836736,0.0,11.224489795918368
Architecture A (1_to_lock_1_to_unlock),8,9,98,9506,71,0,27.55102040816326,0.0,13.77551020408163
Architecture A (1_to_lock_1_to_unlock),8,10,98,9506,69,0,29.591836734693878,0.0,14.795918367346939
Architecture A (1_to_lock_1_to_unlock),8,11,98,9506,65,0,33.6734693877551,0.0,16.83673469387755
Architecture A (1_to_lock_1_to_unlock),10,6,98,9506,89,0,9.183673469387756,0.0,4.591836734693878
Architecture A (1_to_lock_1_to_unlock),12,5,98,9506,91,0,7.142857142857142,0.0,3.571428571428571
Architecture A (1_to_lock_1_to_unlock),10,7,98,9506,86,0,12.244897959183673,0.0,6.122448979591836
Architecture A (1_to_lock_1_to_unlock),12,6,98,9506,90,0,8.16326530612245,0.0,4.081632653061225
Architecture A (1_to_lock_1_to_unlock),10,9,98,9506,83,0,15.306122448979592,0.0,7.653061224489796
Architecture A (1_to_lock_1_to_unlock),10,8,98,9506,84,0,14.285714285714285,0.0,7.142857142857142
Architecture A (1_to_lock_1_to_unlock),10,11,98,9506,74,0,24.489795918367346,0.0,12.244897959183673
Architecture A (1_to_lock_1_to_unlock),10,10,98,9506,79,0,19.387755102040817,0.0,9.693877551020408
Architecture A (1_to_lock_1_to_unlock),12,7,98,9506,89,0,9.183673469387756,0.0,4.591836734693878
Architecture A (1_to_lock_1_to_unlock),12,8,98,9506,89,0,9.183673469387756,0.0,4.591836734693878
Architecture A (1_to_lock_1_to_unlock),12,10,98,9506,88,0,10.204081632653061,0.0,5.1020408163265305
Architecture A (1_to_lock_1_to_unlock),12,9,98,9506,88,0,10.204081632653061,0.0,5.1020408163265305
Architecture A (1_to_lock_1_to_unlock),14,5,98,9506,93,0,5.1020408163265305,0.0,2.5510204081632653
Architecture A (1_to_lock_1_to_unlock),14,6,98,9506,91,0,7.142857142857142,0.0,3.571428571428571
Architecture A (1_to_lock_1_to_unlock),14,7,98,9506,91,0,7.142857142857142,0.0,3.571428571428571
Architecture A (1_to_lock_1_to_unlock),12,11,98,9506,81,0,17.346938775510203,0.0,8.673469387755102
Architecture A (1_to_lock_1_to_unlock),14,8,98,9506,89,0,9.183673469387756,0.0,4.591836734693878
Architecture A (1_to_lock_1_to_unlock),14,9,98,9506,89,0,9.183673469387756,0.0,4.591836734693878
Architecture A (1_to_lock_1_to_unlock),14,10,98,9506,88,0,10.204081632653061,0.0,5.1020408163265305
Architecture A (1_to_lock_1_to_unlock),16,5,98,9506,93,1,5.1020408163265305,0.010519671786240269,2.5562802440563854
Architecture A (1_to_lock_1_to_unlock),16,6,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),16,7,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),14,11,98,9506,85,0,13.26530612244898,0.0,6.63265306122449
Architecture A (1_to_lock_1_to_unlock),16,8,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),16,9,98,9506,91,0,7.142857142857142,0.0,3.571428571428571
Architecture A (1_to_lock_1_to_unlock),16,10,98,9506,91,0,7.142857142857142,0.0,3.571428571428571
Architecture A (1_to_lock_1_to_unlock),16,11,98,9506,89,0,9.183673469387756,0.0,4.591836734693878
Architecture A (1_to_lock_1_to_unlock),18,5,98,9506,93,1,5.1020408163265305,0.010519671786240269,2.5562802440563854
Architecture A (1_to_lock_1_to_unlock),18,6,98,9506,93,0,5.1020408163265305,0.0,2.5510204081632653
Architecture A (1_to_lock_1_to_unlock),18,7,98,9506,93,0,5.1020408163265305,0.0,2.5510204081632653
Architecture A (1_to_lock_1_to_unlock),18,9,98,9506,91,0,7.142857142857142,0.0,3.571428571428571
Architecture A (1_to_lock_1_to_unlock),18,8,98,9506,93,0,5.1020408163265305,0.0,2.5510204081632653
Architecture A (1_to_lock_1_to_unlock),18,10,98,9506,91,0,7.142857142857142,0.0,3.571428571428571
Architecture A (1_to_lock_1_to_unlock),18,11,98,9506,89,0,9.183673469387756,0.0,4.591836734693878
Architecture A (1_to_lock_1_to_unlock),20,5,98,9506,93,6,5.1020408163265305,0.06311803071744161,2.582579423521986
Architecture A (1_to_lock_1_to_unlock),20,6,98,9506,93,2,5.1020408163265305,0.021039343572480537,2.5615400799495056
Architecture A (1_to_lock_1_to_unlock),20,7,98,9506,93,1,5.1020408163265305,0.010519671786240269,2.5562802440563854
Architecture A (1_to_lock_1_to_unlock),20,8,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),20,9,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),20,10,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),20,11,98,9506,91,0,7.142857142857142,0.0,3.571428571428571
Architecture A (1_to_lock_1_to_unlock),22,6,98,9506,93,4,5.1020408163265305,0.042078687144961074,2.572059751735746
Architecture A (1_to_lock_1_to_unlock),22,5,98,9506,93,9,5.1020408163265305,0.09467704607616242,2.5983589312013464
Architecture A (1_to_lock_1_to_unlock),22,7,98,9506,93,3,5.1020408163265305,0.031559015358720806,2.566799915842626
Architecture A (1_to_lock_1_to_unlock),22,8,98,9506,93,2,5.1020408163265305,0.021039343572480537,2.5615400799495056
Architecture A (1_to_lock_1_to_unlock),22,9,98,9506,92,1,6.122448979591836,0.010519671786240269,3.0664843256890384
Architecture A (1_to_lock_1_to_unlock),22,10,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),22,11,98,9506,90,0,8.16326530612245,0.0,4.081632653061225
Architecture A (1_to_lock_1_to_unlock),24,5,98,9506,93,33,5.1020408163265305,0.3471491689459289,2.72459499263623
Architecture A (1_to_lock_1_to_unlock),24,7,98,9506,93,5,5.1020408163265305,0.05259835893120135,2.5773195876288657
Architecture A (1_to_lock_1_to_unlock),24,6,98,9506,93,11,5.1020408163265305,0.11571638964864298,2.608878602987587
Architecture A (1_to_lock_1_to_unlock),24,8,98,9506,93,3,5.1020408163265305,0.031559015358720806,2.566799915842626
Architecture A (1_to_lock_1_to_unlock),24,9,98,9506,93,0,5.1020408163265305,0.0,2.5510204081632653
Architecture A (1_to_lock_1_to_unlock),24,10,98,9506,93,0,5.1020408163265305,0.0,2.5510204081632653
Architecture A (1_to_lock_1_to_unlock),24,11,98,9506,91,0,7.142857142857142,0.0,3.571428571428571
Architecture A (1_to_lock_1_to_unlock),26,5,98,9506,93,44,5.1020408163265305,0.4628655585945719,2.7824531874605514
Architecture A (1_to_lock_1_to_unlock),26,6,98,9506,93,16,5.1020408163265305,0.1683147485798443,2.6351777824531872
Architecture A (1_to_lock_1_to_unlock),26,7,98,9506,93,5,5.1020408163265305,0.05259835893120135,2.5773195876288657
Architecture A (1_to_lock_1_to_unlock),26,8,98,9506,93,0,5.1020408163265305,0.0,2.5510204081632653
Architecture A (1_to_lock_1_to_unlock),26,9,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),26,10,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),26,11,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),28,5,98,9506,93,68,5.1020408163265305,0.7153376814643384,2.9086892488954343
Architecture A (1_to_lock_1_to_unlock),28,6,98,9506,93,38,5.1020408163265305,0.39974752787713025,2.7508941721018303
Architecture A (1_to_lock_1_to_unlock),28,7,98,9506,93,16,5.1020408163265305,0.1683147485798443,2.6351777824531872
Architecture A (1_to_lock_1_to_unlock),28,8,98,9506,93,5,5.1020408163265305,0.05259835893120135,2.5773195876288657
Architecture A (1_to_lock_1_to_unlock),28,9,98,9506,93,1,5.1020408163265305,0.010519671786240269,2.5562802440563854
Architecture A (1_to_lock_1_to_unlock),28,10,98,9506,93,0,5.1020408163265305,0.0,2.5510204081632653
Architecture A (1_to_lock_1_to_unlock),28,11,98,9506,92,0,6.122448979591836,0.0,3.061224489795918
Architecture A (1_to_lock_1_to_unlock),30,5,98,9506,93,103,5.1020408163265305,1.0835261939827476,3.092783505154639
Architecture A (1_to_lock_1_to_unlock),30,6,98,9506,93,67,5.1020408163265305,0.704818009678098,2.903429413002314
Architecture A (1_to_lock_1_to_unlock),30,7,98,9506,93,36,5.1020408163265305,0.3787081843046497,2.74037450031559
Architecture A (1_to_lock_1_to_unlock),30,10,98,9506,93,4,5.1020408163265305,0.042078687144961074,2.572059751735746
Architecture A (1_to_lock_1_to_unlock),30,9,98,9506,93,8,5.1020408163265305,0.08415737428992215,2.5930990953082262
Architecture A (1_to_lock_1_to_unlock),30,8,98,9506,93,14,5.1020408163265305,0.14727540500736377,2.6246581106669473
Architecture A (1_to_lock_1_to_unlock),30,11,98,9506,93,4,5.1020408163265305,0.042078687144961074,2.572059751735746
Architecture A (1_to_lock_1_to_unlock),32,5,98,9506,93,145,5.1020408163265305,1.525352409004839,3.3136966126656846
Architecture A (1_to_lock_1_to_unlock),32,8,98,9506,93,31,5.1020408163265305,0.32610982537344835,2.7140753208499895
Architecture A (1_to_lock_1_to_unlock),32,6,98,9506,93,87,5.1020408163265305,0.9152114454029034,3.008626130864717
Architecture A (1_to_lock_1_to_unlock),32,7,98,9506,93,58,5.1020408163265305,0.6101409636019356,2.856090889964233
