Architecture,Factor,Degree,GA,IA,GAcc,IAcc,FRR,FAR,EER
Arch A (1_to_lock_1_to_unlock),2,5,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),2,5,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),2,6,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),2,6,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),2,7,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),2,7,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),2,8,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),2,8,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),2,9,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),2,9,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),2,10,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),2,10,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),2,11,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_rest_to_unlock),2,11,0,0,0,0,0.0,0.0,0.0
Arch A (1_to_lock_1_to_unlock),8,5,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_rest_to_unlock),8,5,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_1_to_unlock),8,6,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_rest_to_unlock),8,6,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_1_to_unlock),8,7,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_rest_to_unlock),8,7,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_1_to_unlock),8,8,47,4990,12,0,74.46808510638297,0.0,37.234042553191486
Arch A (1_to_lock_rest_to_unlock),8,8,47,4990,12,0,74.46808510638297,0.0,37.234042553191486
Arch A (1_to_lock_1_to_unlock),8,9,47,4990,11,0,76.59574468085107,0.0,38.297872340425535
Arch A (1_to_lock_rest_to_unlock),8,9,47,4990,11,0,76.59574468085107,0.0,38.297872340425535
Arch A (1_to_lock_1_to_unlock),8,10,47,4990,11,0,76.59574468085107,0.0,38.297872340425535
Arch A (1_to_lock_rest_to_unlock),8,10,47,4990,11,0,76.59574468085107,0.0,38.297872340425535
Arch A (1_to_lock_1_to_unlock),8,11,47,4990,11,0,76.59574468085107,0.0,38.297872340425535
Arch A (1_to_lock_rest_to_unlock),8,11,47,4990,11,0,76.59574468085107,0.0,38.297872340425535
Arch A (1_to_lock_1_to_unlock),10,5,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),10,5,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),10,6,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),10,6,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),10,7,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_rest_to_unlock),10,7,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_1_to_unlock),10,8,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_rest_to_unlock),10,8,47,4990,13,0,72.3404255319149,0.0,36.17021276595745
Arch A (1_to_lock_1_to_unlock),10,9,47,4990,12,0,74.46808510638297,0.0,37.234042553191486
Arch A (1_to_lock_rest_to_unlock),10,9,47,4990,12,0,74.46808510638297,0.0,37.234042553191486
Arch A (1_to_lock_1_to_unlock),10,10,47,4990,11,0,76.59574468085107,0.0,38.297872340425535
Arch A (1_to_lock_rest_to_unlock),10,10,47,4990,11,0,76.59574468085107,0.0,38.297872340425535
Arch A (1_to_lock_1_to_unlock),10,11,47,4990,10,0,78.72340425531915,0.0,39.361702127659576
Arch A (1_to_lock_rest_to_unlock),10,11,47,4990,10,0,78.72340425531915,0.0,39.361702127659576
Arch A (1_to_lock_1_to_unlock),12,5,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_rest_to_unlock),12,5,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
Arch A (1_to_lock_1_to_unlock),12,6,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),12,6,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),12,7,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),12,7,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),12,8,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),12,8,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),12,9,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),12,9,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),12,10,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_rest_to_unlock),12,10,47,4990,14,0,70.2127659574468,0.0,35.1063829787234
Arch A (1_to_lock_1_to_unlock),12,11,47,4990,12,0,74.46808510638297,0.0,37.234042553191486
Arch A (1_to_lock_rest_to_unlock),12,11,47,4990,12,0,74.46808510638297,0.0,37.234042553191486
Arch A (1_to_lock_1_to_unlock),14,5,47,4990,15,0,68.08510638297872,0.0,34.04255319148936
