Factor,degree,GA,IA,GAcc,IAcc,GR,IR,FAR,FRR,EER
8,5,200,19800,192,0,8,19800,0.0,4.0,2.0
8,6,200,19800,189,0,11,19800,0.0,5.5,2.75
8,7,200,19800,185,0,15,19800,0.0,7.5,3.75
8,8,200,19800,181,0,19,19800,0.0,9.5,4.75
8,9,200,19800,176,0,24,19800,0.0,12.0,6.0
8,10,200,19800,174,0,26,19800,0.0,13.0,6.5
8,11,200,19800,170,0,30,19800,0.0,15.0,7.5
10,5,200,19800,197,0,3,19800,0.0,1.5,0.75
10,6,200,19800,195,0,5,19800,0.0,2.5,1.25
10,7,200,19800,192,0,8,19800,0.0,4.0,2.0
10,8,200,19800,189,0,11,19800,0.0,5.5,2.75
10,9,200,19800,188,0,12,19800,0.0,6.0,3.0
10,10,200,19800,184,0,16,19800,0.0,8.0,4.0
10,11,200,19800,178,0,22,19800,0.0,11.0,5.5
12,5,200,19800,198,1,2,19799,0.0051,1.0,0.5025
12,6,200,19800,197,1,3,19799,0.0051,1.5,0.7525
12,7,200,19800,196,0,4,19800,0.0,2.0,1.0
12,8,200,19800,196,0,4,19800,0.0,2.0,1.0
12,9,200,19800,195,0,5,19800,0.0,2.5,1.25
12,10,200,19800,195,0,5,19800,0.0,2.5,1.25
12,11,200,19800,188,0,12,19800,0.0,6.0,3.0
14,5,200,19800,200,2,0,19798,0.0101,0.0,0.0051
14,6,200,19800,198,0,2,19800,0.0,1.0,0.5
14,7,200,19800,198,0,2,19800,0.0,1.0,0.5
14,8,200,19800,196,0,4,19800,0.0,2.0,1.0
14,9,200,19800,195,0,5,19800,0.0,2.5,1.25
14,10,200,19800,194,0,6,19800,0.0,3.0,1.5
14,11,200,19800,191,0,9,19800,0.0,4.5,2.25
16,5,200,19800,200,18,0,19782,0.0909,0.0,0.0455
16,6,200,19800,199,4,1,19796,0.0202,0.5,0.2601
16,7,200,19800,199,2,1,19798,0.0101,0.5,0.2551
16,8,200,19800,198,1,2,19799,0.0051,1.0,0.5025
16,9,200,19800,197,0,3,19800,0.0,1.5,0.75
16,10,200,19800,197,0,3,19800,0.0,1.5,0.75
16,11,200,19800,195,0,5,19800,0.0,2.5,1.25
18,5,200,19800,200,29,0,19771,0.1465,0.0,0.0732
18,6,200,19800,200,4,0,19796,0.0202,0.0,0.0101
18,7,200,19800,200,2,0,19798,0.0101,0.0,0.0051
18,8,200,19800,200,0,0,19800,0.0,0.0,0.0
18,9,200,19800,198,0,2,19800,0.0,1.0,0.5
18,10,200,19800,198,0,2,19800,0.0,1.0,0.5
18,11,200,19800,196,0,4,19800,0.0,2.0,1.0
20,5,200,19800,200,66,0,19734,0.3333,0.0,0.1667
20,6,200,19800,200,23,0,19777,0.1162,0.0,0.0581
20,7,200,19800,200,11,0,19789,0.0556,0.0,0.0278
20,8,200,19800,199,7,1,19793,0.0354,0.5,0.2677
