Factor,degree,GA,IA,GAcc,IAcc,GR,IR,FAR,FRR,EER
8,5,800,0,0,0,800,0,0,100.0,50.0
8,6,800,0,0,0,800,0,0,100.0,50.0
8,7,800,0,0,0,800,0,0,100.0,50.0
8,8,800,0,0,0,800,0,0,100.0,50.0
8,9,800,0,0,0,800,0,0,100.0,50.0
8,10,800,0,0,0,800,0,0,100.0,50.0
8,11,800,0,0,0,800,0,0,100.0,50.0
10,5,800,0,0,0,800,0,0,100.0,50.0
10,6,800,0,0,0,800,0,0,100.0,50.0
10,7,800,0,0,0,800,0,0,100.0,50.0
10,8,800,0,0,0,800,0,0,100.0,50.0
10,9,800,0,0,0,800,0,0,100.0,50.0
10,10,800,0,0,0,800,0,0,100.0,50.0
10,11,800,0,0,0,800,0,0,100.0,50.0
12,5,800,0,0,0,800,0,0,100.0,50.0
12,6,800,0,0,0,800,0,0,100.0,50.0
12,7,800,0,0,0,800,0,0,100.0,50.0
12,8,800,0,0,0,800,0,0,100.0,50.0
12,9,800,0,0,0,800,0,0,100.0,50.0
12,10,800,0,0,0,800,0,0,100.0,50.0
12,11,800,0,0,0,800,0,0,100.0,50.0
14,5,800,0,0,0,800,0,0,100.0,50.0
14,6,800,0,0,0,800,0,0,100.0,50.0
14,7,800,0,0,0,800,0,0,100.0,50.0
14,8,800,0,0,0,800,0,0,100.0,50.0
14,9,800,0,0,0,800,0,0,100.0,50.0
14,10,800,0,0,0,800,0,0,100.0,50.0
14,11,800,0,0,0,800,0,0,100.0,50.0
16,5,800,0,0,0,800,0,0,100.0,50.0
16,6,800,0,0,0,800,0,0,100.0,50.0
16,7,800,0,0,0,800,0,0,100.0,50.0
16,8,800,0,0,0,800,0,0,100.0,50.0
16,9,800,0,0,0,800,0,0,100.0,50.0
16,10,800,0,0,0,800,0,0,100.0,50.0
16,11,800,0,0,0,800,0,0,100.0,50.0
18,5,800,0,0,0,800,0,0,100.0,50.0
18,6,800,0,0,0,800,0,0,100.0,50.0
18,7,800,0,0,0,800,0,0,100.0,50.0
18,8,800,0,0,0,800,0,0,100.0,50.0
18,9,800,0,0,0,800,0,0,100.0,50.0
18,10,800,0,0,0,800,0,0,100.0,50.0
18,11,800,0,0,0,800,0,0,100.0,50.0
20,5,800,0,0,0,800,0,0,100.0,50.0
20,6,800,0,0,0,800,0,0,100.0,50.0
20,7,800,0,0,0,800,0,0,100.0,50.0
20,8,800,0,0,0,800,0,0,100.0,50.0
20,9,800,0,0,0,800,0,0,100.0,50.0
20,10,800,0,0,0,800,0,0,100.0,50.0
20,11,800,0,0,0,800,0,0,100.0,50.0
22,5,800,0,0,0,800,0,0,100.0,50.0
22,6,800,0,0,0,800,0,0,100.0,50.0
22,7,800,0,0,0,800,0,0,100.0,50.0
22,8,800,0,0,0,800,0,0,100.0,50.0
22,9,800,0,0,0,800,0,0,100.0,50.0
22,10,800,0,0,0,800,0,0,100.0,50.0
22,11,800,0,0,0,800,0,0,100.0,50.0
24,5,800,0,0,0,800,0,0,100.0,50.0
24,6,800,0,0,0,800,0,0,100.0,50.0
24,7,800,0,0,0,800,0,0,100.0,50.0
24,8,800,0,0,0,800,0,0,100.0,50.0
24,9,800,0,0,0,800,0,0,100.0,50.0
24,10,800,0,0,0,800,0,0,100.0,50.0
24,11,800,0,0,0,800,0,0,100.0,50.0
26,5,800,0,0,0,800,0,0,100.0,50.0
26,6,800,0,0,0,800,0,0,100.0,50.0
26,7,800,0,0,0,800,0,0,100.0,50.0
26,8,800,0,0,0,800,0,0,100.0,50.0
26,9,800,0,0,0,800,0,0,100.0,50.0
26,10,800,0,0,0,800,0,0,100.0,50.0
26,11,800,0,0,0,800,0,0,100.0,50.0
28,5,800,0,0,0,800,0,0,100.0,50.0
28,6,800,0,0,0,800,0,0,100.0,50.0
28,7,800,0,0,0,800,0,0,100.0,50.0
28,8,800,0,0,0,800,0,0,100.0,50.0
28,9,800,0,0,0,800,0,0,100.0,50.0
28,10,800,0,0,0,800,0,0,100.0,50.0
28,11,800,0,0,0,800,0,0,100.0,50.0
30,5,800,0,0,0,800,0,0,100.0,50.0
30,6,800,0,0,0,800,0,0,100.0,50.0
30,7,800,0,0,0,800,0,0,100.0,50.0
30,8,800,0,0,0,800,0,0,100.0,50.0
30,9,800,0,0,0,800,0,0,100.0,50.0
30,10,800,0,0,0,800,0,0,100.0,50.0
30,11,800,0,0,0,800,0,0,100.0,50.0
32,5,800,0,0,0,800,0,0,100.0,50.0
32,6,800,0,0,0,800,0,0,100.0,50.0
32,7,800,0,0,0,800,0,0,100.0,50.0
32,8,800,0,0,0,800,0,0,100.0,50.0
32,9,800,0,0,0,800,0,0,100.0,50.0
32,10,800,0,0,0,800,0,0,100.0,50.0
32,11,800,0,0,0,800,0,0,100.0,50.0
34,5,800,0,0,0,800,0,0,100.0,50.0
34,6,800,0,0,0,800,0,0,100.0,50.0
34,7,800,0,0,0,800,0,0,100.0,50.0
34,8,800,0,0,0,800,0,0,100.0,50.0
34,9,800,0,0,0,800,0,0,100.0,50.0
34,10,800,0,0,0,800,0,0,100.0,50.0
34,11,800,0,0,0,800,0,0,100.0,50.0
