Factor,degree,GA,IA,GAcc,IAcc,GR,IR,FAR,FRR,EER
8,5,193,18721,159,0,34,18721,0.0,17.6166,8.8083
8,6,193,18721,148,0,45,18721,0.0,23.3161,11.658
8,7,193,18721,141,0,52,18721,0.0,26.943,13.4715
8,8,193,18721,135,0,58,18721,0.0,30.0518,15.0259
8,9,193,18721,128,0,65,18721,0.0,33.6788,16.8394
8,10,193,18721,124,0,69,18721,0.0,35.7513,17.8756
8,11,193,18721,119,0,74,18721,0.0,38.342,19.171
10,5,193,18721,173,0,20,18721,0.0,10.3627,5.1813
10,6,193,18721,168,0,25,18721,0.0,12.9534,6.4767
10,7,193,18721,160,0,33,18721,0.0,17.0984,8.5492
10,8,193,18721,150,0,43,18721,0.0,22.2798,11.1399
10,9,193,18721,142,0,51,18721,0.0,26.4249,13.2124
10,10,193,18721,135,0,58,18721,0.0,30.0518,15.0259
10,11,193,18721,128,0,65,18721,0.0,33.6788,16.8394
12,5,193,18721,182,0,11,18721,0.0,5.6995,2.8497
12,6,193,18721,173,0,20,18721,0.0,10.3627,5.1813
12,7,193,18721,171,0,22,18721,0.0,11.399,5.6995
12,8,193,18721,165,0,28,18721,0.0,14.5078,7.2539
12,9,193,18721,157,0,36,18721,0.0,18.6528,9.3264
12,10,193,18721,147,0,46,18721,0.0,23.8342,11.9171
12,11,193,18721,135,0,58,18721,0.0,30.0518,15.0259
14,5,193,18721,182,5,11,18716,0.0267,5.6995,2.8631
14,6,193,18721,180,0,13,18721,0.0,6.7358,3.3679
14,7,193,18721,176,0,17,18721,0.0,8.8083,4.4041
14,8,193,18721,167,0,26,18721,0.0,13.4715,6.7358
14,9,193,18721,162,0,31,18721,0.0,16.0622,8.0311
14,10,193,18721,155,0,38,18721,0.0,19.6891,9.8446
14,11,193,18721,147,0,46,18721,0.0,23.8342,11.9171
16,5,193,18721,185,27,8,18694,0.1442,4.1451,2.1447
16,6,193,18721,182,12,11,18709,0.0641,5.6995,2.8818
16,7,193,18721,179,6,14,18715,0.032,7.2539,3.643
16,8,193,18721,175,5,18,18716,0.0267,9.3264,4.6766
16,9,193,18721,170,2,23,18719,0.0107,11.9171,5.9639
16,10,193,18721,167,2,26,18719,0.0107,13.4715,6.7411
16,11,193,18721,159,2,34,18719,0.0107,17.6166,8.8136
18,5,193,18721,188,52,5,18669,0.2778,2.5907,1.4342
18,6,193,18721,185,21,8,18700,0.1122,4.1451,2.1286
18,7,193,18721,179,10,14,18711,0.0534,7.2539,3.6537
18,8,193,18721,178,6,15,18715,0.032,7.772,3.902
18,9,193,18721,174,3,19,18718,0.016,9.8446,4.9303
18,10,193,18721,169,0,24,18721,0.0,12.4352,6.2176
18,11,193,18721,166,0,27,18721,0.0,13.9896,6.9948
20,5,193,18721,188,132,5,18589,0.7051,2.5907,1.6479
20,6,193,18721,186,57,7,18664,0.3045,3.6269,1.9657
20,7,193,18721,185,31,8,18690,0.1656,4.1451,2.1553
20,8,193,18721,181,21,12,18700,0.1122,6.2176,3.1649
20,9,193,18721,177,14,16,18707,0.0748,8.2902,4.1825
20,10,193,18721,176,6,17,18715,0.032,8.8083,4.4202
20,11,193,18721,173,3,20,18718,0.016,10.3627,5.1894
22,5,193,18721,188,252,5,18469,1.3461,2.5907,1.9684
22,6,193,18721,187,125,6,18596,0.6677,3.1088,1.8883
22,7,193,18721,186,77,7,18644,0.4113,3.6269,2.0191
22,8,193,18721,181,45,12,18676,0.2404,6.2176,3.229
22,9,193,18721,177,23,16,18698,0.1229,8.2902,4.2065
22,10,193,18721,176,16,17,18705,0.0855,8.8083,4.4469
22,11,193,18721,170,7,23,18714,0.0374,11.9171,5.9772
24,5,193,18721,188,507,5,18214,2.7082,2.5907,2.6494
24,6,193,18721,187,252,6,18469,1.3461,3.1088,2.2274
24,7,193,18721,186,128,7,18593,0.6837,3.6269,2.1553
24,8,193,18721,185,70,8,18651,0.3739,4.1451,2.2595
24,9,193,18721,183,41,10,18680,0.219,5.1813,2.7002
24,10,193,18721,178,20,15,18701,0.1068,7.772,3.9394
24,11,193,18721,174,11,19,18710,0.0588,9.8446,4.9517
26,5,193,18721,188,830,5,17891,4.4335,2.5907,3.5121
26,6,193,18721,188,470,5,18251,2.5105,2.5907,2.5506
26,7,193,18721,187,267,6,18454,1.4262,3.1088,2.2675
26,8,193,18721,184,150,9,18571,0.8012,4.6632,2.7322
26,9,193,18721,181,82,12,18639,0.438,6.2176,3.3278
26,10,193,18721,178,54,15,18667,0.2884,7.772,4.0302
26,11,193,18721,175,35,18,18686,0.187,9.3264,4.7567
28,5,193,18721,188,1244,5,17477,6.6449,2.5907,4.6178
28,6,193,18721,188,713,5,18008,3.8086,2.5907,3.1996
28,7,193,18721,188,405,5,18316,2.1633,2.5907,2.377
28,8,193,18721,188,247,5,18474,1.3194,2.5907,1.955
28,9,193,18721,186,149,7,18572,0.7959,3.6269,2.2114
28,10,193,18721,182,90,11,18631,0.4807,5.6995,3.0901
28,11,193,18721,177,64,16,18657,0.3419,8.2902,4.316
30,5,193,18721,190,1871,3,16850,9.9941,1.5544,5.7743
30,6,193,18721,189,1063,4,17658,5.6781,2.0725,3.8753
30,7,193,18721,188,660,5,18061,3.5255,2.5907,3.0581
30,8,193,18721,187,414,6,18307,2.2114,3.1088,2.6601
30,9,193,18721,183,261,10,18460,1.3942,5.1813,3.2878
30,10,193,18721,181,154,12,18567,0.8226,6.2176,3.5201
30,11,193,18721,180,94,13,18627,0.5021,6.7358,3.6189
32,5,193,18721,190,2761,3,15960,14.7481,1.5544,8.1513
